feature,dtype,rows_audited,missing_count,missing_pct,inf_count,zero_pct,unique_count,dominant_pct,constant,near_constant,min,p01,p25,median,p75,p99,max,mean,std,skew,status
max_duration,float64,66221,0,0.0,0,0.0,66209,3.0201899699491097e-05,False,False,1701468974.989737,1701470872.973488,1701515641.675183,1701558078.310572,1701603109.347103,1701646097.9406939,1701647998.274438,1701559114.8164196,51139.2358116628,-0.011575628546935257,WARN
min_duration,float64,66221,0,0.0,0,0.0,33168,0.006191389438395675,False,False,1701468974.914394,1701470267.3389165,1701515440.302425,1701558063.905955,1701602878.9777,1701645577.7794394,1701647998.260611,1701558596.3061504,51145.56162457833,-0.01240914755486111,PASS
average_duration,float64,66221,0,0.0,0,0.0,66209,3.0201899699491097e-05,False,False,1701468974.9481397,1701470384.3942606,1701515440.338115,1701558071.2999206,1701602878.9865203,1701645597.3828905,1701647998.2685409,1701558850.1600485,51140.82171019024,-0.012000158206926556,WARN
std_duration,float64,66221,0,0.0,0,0.014919738451548602,63636,0.014919738451548602,False,False,0.0,0.0,0.0053002161202056,0.0469031690853785,261.4613433555454,833.0973452650805,1450.9369092141894,153.58593748057407,249.3629868301091,1.4653861480758572,WARN
TCP,int64,66221,0,0.0,0,0.06405822926262061,2,0.9359417707373794,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9359417707373794,0.24485848548507266,-3.560872612121499,PASS
UDP,int64,66221,0,0.0,0,0.9412875069841893,2,0.9412875069841893,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0587124930158107,0.23508758102322627,3.7543525964831694,PASS
ARP,int64,66221,0,0.0,0,0.994835475151387,2,0.994835475151387,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005164524848612978,0.07167935629821252,13.807334388311068,PASS
ICMP,int64,66221,0,0.0,0,0.9998187886018031,2,0.9998187886018031,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018121139819694658,0.0134603601971041,74.26753477848024,WARN
Tot sum,int64,66221,0,0.0,0,0.0,3325,0.02239470862717265,False,False,54.0,66.0,429.0,805.0,1198.0,13756.800000000017,28766.0,1138.0207487050936,2114.460900858849,6.806170158596954,PASS
Min,int64,66221,0,0.0,0,0.0,57,0.857447033418402,False,False,54.0,54.0,66.0,66.0,66.0,210.0,1514.0,74.06162697633681,91.54248093354408,15.148540924192668,PASS
Max,int64,66221,0,0.0,0,0.0,104,0.18909409401851376,False,False,54.0,66.0,77.0,82.0,85.0,1514.0,1514.0,140.16745443288383,269.8399163028892,4.737634248202544,PASS
AVG,float64,66221,0,0.0,0,0.0,4845,0.11164132223916884,False,False,54.0,66.0,70.0,72.53333333333333,75.42105263157895,1149.0,1514.0,108.22223748885457,174.98835555743975,5.783831521892643,PASS
Std,float64,66221,0,0.0,0,0.18995484815994926,9024,0.18995484815994926,False,False,0.0,0.0,3.871389197818744,5.462115958472655,7.1302173879903545,706.8018977348634,730.0,28.58218162816554,115.52661716556149,5.239066923939342,PASS
Tot size,int64,66221,0,0.0,0,0.0,92,0.45855544313737334,False,False,54.0,64.0,66.0,74.0,78.0,1514.0,1514.0,108.53261050120052,212.58099559065158,6.31929509454211,PASS
IAT,float64,66221,0,0.0,0,9.060569909847329e-05,13408,0.0987602120173359,False,False,0.0,1.3828277587890623e-05,0.0003809928894042,0.0020010471343994,0.0021290779113769,1701612701.6721811,1701647940.393325,84588524.76796377,369836893.1092316,4.143528192974132,PASS
Number,int64,66221,0,0.0,0,0.049697225955512604,20,0.051509339937482065,False,False,0.0,0.0,5.0,10.0,15.0,19.0,19.0,9.536672656710108,5.754724649415875,-0.01028623096733528,PASS
Magnitue,float64,66221,0,0.0,0,0.0,4755,0.11164132223916884,False,False,10.392304845413264,11.489125293076055,11.832159566199232,12.044362443345296,12.28177940133912,47.936416174427535,55.02726596879042,13.418069808207886,6.031308892559878,5.053099628580475,PASS
Radius,float64,66221,0,0.0,0,0.1900001510094985,8702,0.1900001510094985,False,False,0.0,0.0,5.473498303048004,7.724598467726546,10.098282460001569,999.2817978853074,1032.3759005323593,40.40923608887394,163.38741251241177,5.239461501820189,PASS
Variance,float64,66221,0,0.0,0,0.1900001510094985,2,0.8099998489905015,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8099998489905015,0.39230398634038594,-1.5804540491650354,PASS
Weight,int64,66221,0,0.0,0,0.0,19,0.09927364431222724,False,False,1.0,1.0,36.0,121.0,256.0,361.0,361.0,142.00517962579846,120.63390426701834,0.5230113493164272,PASS
flow_idle_time,float64,66221,0,0.0,0,0.005421240996058652,10235,0.10581235559716706,False,False,0.0,1.0013580322265623e-05,0.0003609657287597,0.0020010471343994,0.0021278858184814,1701530233.3436794,1701647658.249088,25386812.560427547,206284521.99164855,8.002708970389168,PASS
flow_active_time,float64,66221,0,0.0,0,0.020265474698358526,55287,0.020265474698358526,False,False,0.0,0.0,0.017439842224121,0.1198129653930664,857.4549381732941,2846.941438913346,2983.9950029850006,512.4908993866455,838.616453054879,1.4584705811152743,PASS
