feature,dtype,rows_audited,missing_count,missing_pct,inf_count,zero_pct,unique_count,dominant_pct,constant,near_constant,min,p01,p25,median,p75,p99,max,mean,std,skew,status,audit_scope
UDP,int64,100000,0,0.0,0,0.97341,2,0.97341,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02659,0.1608826613787431,5.885276441006454,PASS,phase1_first_100k
ARP,int64,100000,0,0.0,0,0.99568,2,0.99568,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00432,0.06558491147974616,15.11597416583704,PASS,phase1_first_100k
ICMP,int64,100000,0,0.0,0,0.9998,2,0.9998,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,0.014140792043587806,70.69052350947551,WARN,phase1_first_100k
Tot sum,int64,100000,0,0.0,0,0.0,2113,0.024,False,False,54.0,66.0,396.0,766.0,1132.0,1890.0,11330.0,781.01775,479.8856975549122,2.1667855940616856,PASS,phase1_first_100k
Min,int64,100000,0,0.0,0,0.0,22,0.88885,False,False,54.0,54.0,66.0,66.0,66.0,88.0,411.0,67.25037,8.815435439166906,14.549532429913551,PASS,phase1_first_100k
Max,int64,100000,0,0.0,0,0.0,32,0.20853,False,False,54.0,66.0,76.0,78.0,84.0,210.0,1514.0,83.80998,42.90235143342595,23.470843180805687,WARN,phase1_first_100k
AVG,float64,100000,0,0.0,0,0.0,3292,0.11872,False,False,54.0,66.0,69.71428571428571,72.18181818181819,74.57142857142857,152.94789473684182,897.3333333333334,74.284782582337,18.06941095337773,16.282731859732024,PASS,phase1_first_100k
Std,float64,100000,0,0.0,0,0.18622,7851,0.18622,False,False,0.0,0.0,3.815174380753199,5.374838498865699,6.855223033588089,65.69858985656597,657.740239169098,6.542027760795151,17.03709040851336,23.495342027984734,WARN,phase1_first_100k
Tot size,int64,100000,0,0.0,0,0.0,38,0.47884,False,False,54.0,66.0,66.0,74.0,77.0,210.0,1514.0,74.41503,27.698069462141564,28.199897760696228,WARN,phase1_first_100k
IAT,float64,100000,0,0.0,0,0.00856,17973,0.10894,False,False,0.0,7.867813110351562e-06,0.0003848075866699,0.0020010471343994,0.0021290779113769,1701428812.727409,1701429405.346764,85088410.4525934,370854601.09089565,4.129062233993885,PASS,phase1_first_100k
Number,int64,100000,0,0.0,0,0.05,20,0.05,False,False,0.0,0.0,4.75,9.5,14.25,19.0,19.0,9.5,5.766310128958122,0.0,PASS,phase1_first_100k
Magnitue,float64,100000,0,0.0,0,0.0,3095,0.11872,False,False,10.392304845413264,11.489125293076055,11.807987611298184,12.015141961859475,12.212405870378577,17.511900715418264,42.36350630751268,12.144373056645431,1.041870926754923,9.140859270732397,PASS,phase1_first_100k
Radius,float64,100000,0,0.0,0,0.18625,7058,0.18625,False,False,0.0,0.0,5.395471352079548,7.575515147636239,9.693583458764985,92.79563257772331,930.1851667514616,9.245510399055833,24.094261000666744,23.51825152987054,WARN,phase1_first_100k
Variance,float64,100000,0,0.0,0,0.18625,2,0.81375,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.81375,0.38931022735670745,-1.6118573470612763,PASS,phase1_first_100k
Weight,int64,100000,0,0.0,0,0.0,19,0.1,False,False,1.0,1.0,33.25,110.5,232.75,361.0,361.0,141.55,120.88462942382836,0.5284871035374906,PASS,phase1_first_100k
flow_idle_time,float64,100000,0,0.0,0,0.01161,12734,0.11572,False,False,0.0,0.0,0.0003571510314941,0.0020010471343994,0.0021278858184814,1701427367.2694821,1701429405.339982,25249190.876379296,205724519.68422672,8.025113105354338,PASS,phase1_first_100k
flow_active_time,float64,100000,0,0.0,0,0.01944,78685,0.01944,False,False,0.0,0.0,0.017342746257781923,0.11621606349945066,1051.980794072151,2885.6872641301156,2967.513581037522,574.1700870353246,886.8047292516161,1.3120900095219072,PASS,phase1_first_100k
flow_duration,float64,13117,0,0.0,0,0.0211176336052451,12193,0.0211176336052451,False,False,0.0,0.0,0.0174691677093505,0.1189939975738525,899.3537881374359,2841.2477118301395,2971.67778301239,523.7646737458766,843.6631692376602,1.4160827686912845,WARN,phase2_independent_probability_reference
Header_Length,int64,13117,0,0.0,0,0.005107875276358923,5390,0.014561256384844096,False,False,0.0,74.0,1234.0,2462.0,892703.0,6359665.680000004,9728152.0,590786.0911793855,1156061.6347017102,3.528196344573704,PASS,phase2_independent_probability_reference
Duration,int64,13117,0,0.0,0,0.004879164443089121,6,0.958374628344896,False,False,0.0,1.0,64.0,64.0,64.0,64.0,255.0,62.9396965769612,12.717804491423271,-0.42499514369451885,PASS,phase2_independent_probability_reference
Rate,float64,13117,0,0.0,0,0.0,12590,0.009453381108485173,False,False,0.0133333168224256,0.047252918971686944,12.166689031467794,268.02163060234994,899.5504718329997,2143.6526096560633,69327.33884297521,444.4830333926538,1322.2589747167751,36.318026217693976,WARN,phase2_independent_probability_reference
Srate,float64,13117,0,0.0,0,0.0,12590,0.009453381108485173,False,False,0.0133333168224256,0.047252918971686944,12.166689031467794,268.02163060234994,899.5504718329997,2143.6526096560633,69327.33884297521,444.4830333926538,1322.2589747167751,36.318026217693976,WARN,phase2_independent_probability_reference
Drate,float64,13117,0,0.0,0,1.0,1,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,phase2_independent_probability_reference
fin_flag_number,int64,13117,0,0.0,0,0.893420751696272,2,0.893420751696272,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10657924830372799,0.30858932576906384,2.5501902650414725,PASS,phase2_independent_probability_reference
syn_flag_number,int64,13117,0,0.0,0,0.8870930853091408,2,0.8870930853091408,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11290691469085919,0.3164910420530411,2.4465281126847414,PASS,phase2_independent_probability_reference
rst_flag_number,int64,13117,0,0.0,0,0.9999237630555767,2,0.9999237630555767,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.623694442326752e-05,0.00873137700613526,114.52947218947615,WARN,phase2_independent_probability_reference
psh_flag_number,int64,13117,0,0.0,0,0.6523595334299002,2,0.6523595334299002,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3476404665700999,0.4762392921699685,0.6399420221241144,PASS,phase2_independent_probability_reference
ack_flag_number,int64,13117,0,0.0,0,0.1260196691316612,2,0.8739803308683388,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8739803308683388,0.3318841807056579,-2.2540234427816443,PASS,phase2_independent_probability_reference
ack_count,int64,13117,0,0.0,0,0.815887779217809,19,0.815887779217809,False,False,0.0,0.0,0.0,0.0,0.0,8.0,23.0,1.1353205763513,2.725479916064514,2.4674000289650153,PASS,phase2_independent_probability_reference
syn_count,int64,13117,0,0.0,0,0.44209804071052833,44,0.44209804071052833,False,False,0.0,0.0,0.0,4.0,8.0,16.0,55.0,4.3647175421209115,4.695737810972217,1.7783592780627322,PASS,phase2_independent_probability_reference
fin_count,int64,13117,0,0.0,0,0.9999237630555767,2,0.9999237630555767,False,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00015247388884653503,0.01746275401227052,114.52947218947615,WARN,phase2_independent_probability_reference
rst_count,int64,13117,0,0.0,0,0.12449493024319586,4768,0.12449493024319586,False,False,0.0,0.0,10.0,29.0,9246.0,34935.68,37109.0,6084.364488831287,10126.948130988247,1.5281151946524008,PASS,phase2_independent_probability_reference
max_duration,float64,13117,0,0.0,0,0.0,13117,7.623694442326752e-05,False,False,1701468976.905948,1701470685.464983,1701516034.34124,1701558087.716319,1701602110.87948,1701646076.8445027,1701647960.376856,1701558954.9679296,50821.28544129756,-0.0148260674775287,WARN,phase2_independent_probability_reference
min_duration,float64,13117,0,0.0,0,0.0,7845,0.007166272775787147,False,False,1701468976.903824,1701469956.931278,1701515922.751752,1701558081.918283,1701601266.95108,1701645506.257629,1701647960.25931,1701558425.7590823,50846.25620276648,-0.016031312537910125,PASS,phase2_independent_probability_reference
average_duration,float64,13117,0,0.0,0,0.0,13117,7.623694442326752e-05,False,False,1701468976.904886,1701470257.8588173,1701516016.327598,1701558084.871575,1701601778.8661883,1701645537.3555267,1701647960.307119,1701558685.0234444,50832.84026562297,-0.015437305774182447,WARN,phase2_independent_probability_reference
std_duration,float64,13117,0,0.0,0,0.016009758328886178,12676,0.016009758328886178,False,False,0.0,0.0,0.0053098886653991,0.0463069544759335,273.9065913962234,834.8746609348708,1317.5725437663175,157.12467072199456,251.85393527246708,1.4361968236256755,WARN,phase2_independent_probability_reference
TCP,int64,13117,0,0.0,0,0.06624990470381947,2,0.9337500952961806,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9337500952961806,0.24872790609956322,-3.488279604394933,PASS,phase2_independent_probability_reference
UDP,int64,13117,0,0.0,0,0.9388579705725395,2,0.9388579705725395,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06114202942746055,0.23959978772924787,3.6638170619266917,PASS,phase2_independent_probability_reference
ARP,int64,13117,0,0.0,0,0.9951208355569109,2,0.9951208355569109,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004879164443089121,0.06968305664450512,14.21281912459483,PASS,phase2_independent_probability_reference
ICMP,int64,13117,0,0.0,0,0.9997712891667302,2,0.9997712891667302,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00022871083326980255,0.015122035517114168,66.10849475834459,WARN,phase2_independent_probability_reference
Tot sum,int64,13117,0,0.0,0,0.0,1761,0.022489898604863917,False,False,54.0,66.0,412.0,798.0,1181.0,12760.0,30280.0,1108.9842951894489,2086.3974692937413,7.093226585502201,PASS,phase2_independent_probability_reference
Min,int64,13117,0,0.0,0,0.0,31,0.8546923839292521,False,False,54.0,54.0,66.0,66.0,66.0,210.0,1514.0,74.69116413814135,95.0213503503794,14.412118548398782,PASS,phase2_independent_probability_reference
Max,int64,13117,0,0.0,0,0.0,55,0.19036365022489898,False,False,54.0,66.0,76.0,82.0,85.0,1514.0,1514.0,133.32423572463216,254.63665100228278,5.101652741136816,PASS,phase2_independent_probability_reference
AVG,float64,13117,0,0.0,0,0.0,1903,0.1133643363573988,False,False,54.0,66.0,70.0,72.47368421052632,75.5,1146.4720000000023,1514.0,105.89886899048213,171.33514499862426,6.022670358780308,PASS,phase2_independent_probability_reference
Std,float64,13117,0,0.0,0,0.19448044522375543,3106,0.19448044522375543,False,False,0.0,0.0,3.771236166328253,5.44426303552648,7.091544260596559,700.9431846948751,730.0,25.4220022043617,108.17438268638848,5.691269345987587,PASS,phase2_independent_probability_reference
Tot size,int64,13117,0,0.0,0,0.0,45,0.4512464740413204,False,False,54.0,64.0,66.0,74.0,78.0,1514.0,1514.0,107.3574750324007,208.7632493927253,6.4571703094423665,PASS,phase2_independent_probability_reference
IAT,float64,13117,0,0.0,0,7.623694442326752e-05,3983,0.09819318441716857,False,False,0.0,1.3828277587890623e-05,0.000370979309082,0.0020010471343994,0.0021290779113769,1701608123.5953612,1701647652.371459,81724696.8463703,363855257.59065837,4.2279043965916685,PASS,phase2_independent_probability_reference
Number,int64,13117,0,0.0,0,0.048029274986658536,20,0.05428070442936647,False,False,0.0,0.0,4.0,9.0,14.0,19.0,19.0,9.505679652359534,5.764005490229181,-0.004654983152094165,PASS,phase2_independent_probability_reference
Magnitue,float64,13117,0,0.0,0,0.0,1878,0.1133643363573988,False,False,10.392304845413264,11.489125293076055,11.832159566199232,12.038400098147466,12.288205727444508,47.88454133004078,55.02726596879042,13.319434920700044,5.862053254437466,5.310025853431991,PASS,phase2_independent_probability_reference
Radius,float64,13117,0,0.0,0,0.1945566821681787,2997,0.1945566821681787,False,False,0.0,0.0,5.333333333333333,7.699350621968064,10.028958071504738,991.2833582484817,1032.3759005323593,35.94664196805904,153.01007543587482,5.690689178308484,PASS,phase2_independent_probability_reference
Variance,float64,13117,0,0.0,0,0.1945566821681787,2,0.8054433178318213,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8054433178318213,0.39587413045791886,-1.543368831456914,PASS,phase2_independent_probability_reference
Weight,int64,13117,0,0.0,0,0.0,19,0.0955248913623542,False,False,1.0,1.0,25.0,100.0,225.0,361.0,361.0,140.91774033696728,120.47209737505894,0.5264435687731508,PASS,phase2_independent_probability_reference
flow_idle_time,float64,13117,0,0.0,0,0.005184112220782191,3461,0.10383471830449036,False,False,0.0,1.0013580322265623e-05,0.0003509521484375,0.0020010471343994,0.0021281242370605,1701542527.7488885,1701647302.236176,27241578.71912251,213575690.8746844,7.713091548233973,PASS,phase2_independent_probability_reference
flow_active_time,float64,13117,0,0.0,0,0.0211176336052451,12193,0.0211176336052451,False,False,0.0,0.0,0.0174691677093505,0.1189939975738525,899.3537881374359,2841.2477118301395,2971.67778301239,523.7646737458766,843.6631692376602,1.4160827686912845,WARN,phase2_independent_probability_reference
flow_duration,float64,65409,0,0.0,0,0.020471188980109772,54492,0.020471188980109772,False,False,0.0,0.0,0.0169990062713623,0.1185770034790039,881.6226940155029,2848.435416240692,2983.9950029850006,518.0065707795313,842.2990421106315,1.4395845038296293,PASS,phase2_kept_benign_visible_roles
Header_Length,int64,65409,0,0.0,0,0.005412099252396459,25339,0.01401947744194224,False,False,0.0,74.0,1234.0,2462.0,898029.0,6601340.399999997,9756074.0,602067.2461587855,1192564.452044396,3.55117208763588,PASS,phase2_kept_benign_visible_roles
Duration,int64,65409,0,0.0,0,0.005228638260789799,7,0.9591034872876821,False,False,0.0,1.0,64.0,64.0,64.0,64.0,255.0,62.9843752388815,12.52193161113997,-0.5175116904111648,PASS,phase2_kept_benign_visible_roles
Rate,float64,65409,0,0.0,0,1.5288415967221636e-05,58226,0.009280068492103534,False,False,0.0,0.04972154270787833,12.171927528607236,273.73331077324696,904.529652792754,2049.873804882694,133152.50793650793,442.6626286032506,1385.627627357905,49.37582998625574,WARN,phase2_kept_benign_visible_roles
Srate,float64,65409,0,0.0,0,1.5288415967221636e-05,58226,0.009280068492103534,False,False,0.0,0.04972154270787833,12.171927528607236,273.73331077324696,904.529652792754,2049.873804882694,133152.50793650793,442.6626286032506,1385.627627357905,49.37582998625574,WARN,phase2_kept_benign_visible_roles
Drate,float64,65409,0,0.0,0,1.0,1,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,phase2_kept_benign_visible_roles
fin_flag_number,int64,65409,0,0.0,0,0.8909630173217753,2,0.8909630173217753,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1090369826782247,0.3116879919842243,2.508758644237898,PASS,phase2_kept_benign_visible_roles
syn_flag_number,int64,65409,0,0.0,0,0.8850922655903621,2,0.8850922655903621,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11490773440963782,0.3189130005166003,2.415104058022563,PASS,phase2_kept_benign_visible_roles
rst_flag_number,int64,65409,0,0.0,0,0.9998012505924261,2,0.9998012505924261,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019874940757388127,0.014096557886697733,70.9132736396904,WARN,phase2_kept_benign_visible_roles
psh_flag_number,int64,65409,0,0.0,0,0.6582427494687275,2,0.6582427494687275,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3417572505312724,0.47430229976616967,0.6672857722033023,PASS,phase2_kept_benign_visible_roles
ack_flag_number,int64,65409,0,0.0,0,0.12453943646898745,2,0.8754605635310125,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8754605635310125,0.3301984738679864,-2.2742203492237847,PASS,phase2_kept_benign_visible_roles
ack_count,int64,65409,0,0.0,0,0.8145209374856671,24,0.8145209374856671,False,False,0.0,0.0,0.0,0.0,0.0,8.0,24.0,1.1480835970585088,2.749443053921826,2.5016356502999115,PASS,phase2_kept_benign_visible_roles
syn_count,int64,65409,0,0.0,0,0.43862465409958873,56,0.43862465409958873,False,False,0.0,0.0,0.0,5.0,8.0,16.0,55.0,4.394609304529958,4.668034009341096,1.6914727416992108,PASS,phase2_kept_benign_visible_roles
fin_count,int64,65409,0,0.0,0,0.9998012505924261,4,0.9998012505924261,False,True,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0002904799033772111,0.022459765369406935,90.37642163028556,WARN,phase2_kept_benign_visible_roles
rst_count,int64,65409,0,0.0,0,0.1213288691158709,17824,0.1213288691158709,False,False,0.0,0.0,10.0,29.0,9078.0,35036.11999999998,37401.0,6056.366570349646,10143.085137529386,1.5418399718709792,PASS,phase2_kept_benign_visible_roles
max_duration,float64,65409,0,0.0,0,0.0,65397,3.057683193444327e-05,False,False,1701468974.989737,1701470975.305548,1701515764.31682,1701558087.598755,1701603380.957523,1701646116.1687422,1701647998.274438,1701559305.1550727,51174.040371792056,-0.014017651807007618,WARN,phase2_kept_benign_visible_roles
min_duration,float64,65409,0,0.0,0,0.0,33137,0.006268250546560871,False,False,1701468974.914394,1701470389.10661,1701515718.310858,1701558081.918283,1701603346.893634,1701645620.181233,1701647998.260611,1701558781.0544066,51181.90411798927,-0.014802712418963939,PASS,phase2_kept_benign_visible_roles
average_duration,float64,65409,0,0.0,0,0.0,65397,3.057683193444327e-05,False,False,1701468974.9481397,1701470433.5341966,1701515718.344521,1701558084.9436316,1701603346.893634,1701645639.870875,1701647998.2685409,1701559037.8309069,51176.34046190079,-0.014418722040642616,WARN,phase2_kept_benign_visible_roles
std_duration,float64,65409,0,0.0,0,0.015059089727713311,62829,0.015059089727713311,False,False,0.0,0.0,0.0052335192004163,0.0462595312999389,268.65171429622035,833.5364174810987,1450.9369092141894,155.2296703542521,250.45363737620968,1.4465638390845201,WARN,phase2_kept_benign_visible_roles
TCP,int64,65409,0,0.0,0,0.06485346053295418,2,0.9351465394670458,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9351465394670458,0.24626899197437044,-3.5340205990836817,PASS,phase2_kept_benign_visible_roles
UDP,int64,65409,0,0.0,0,0.9405586387194422,2,0.9405586387194422,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05944136128055772,0.23645071496786016,3.7265449595167475,PASS,phase2_kept_benign_visible_roles
ARP,int64,65409,0,0.0,0,0.9947713617392102,2,0.9947713617392102,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005228638260789799,0.07212058737680418,13.72108876921646,PASS,phase2_kept_benign_visible_roles
ICMP,int64,65409,0,0.0,0,0.9998165390083933,2,0.9998165390083933,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018346099160665964,0.013543638286201733,73.81056872897257,WARN,phase2_kept_benign_visible_roles
Tot sum,int64,65409,0,0.0,0,0.0,3255,0.022091761072635264,False,False,54.0,66.0,428.0,804.0,1197.0,13758.0,28766.0,1137.6428014493417,2122.782122963423,6.799597283946188,PASS,phase2_kept_benign_visible_roles
Min,int64,65409,0,0.0,0,0.0,54,0.8560136984207066,False,False,54.0,54.0,66.0,66.0,66.0,210.0,1514.0,74.13354431347368,92.02704932995795,15.083432957590665,PASS,phase2_kept_benign_visible_roles
Max,int64,65409,0,0.0,0,0.0,95,0.19124279533397545,False,False,54.0,66.0,77.0,82.0,85.0,1514.0,1514.0,139.25160146157256,269.3142103618117,4.780501505398617,PASS,phase2_kept_benign_visible_roles
AVG,float64,65409,0,0.0,0,0.0,4697,0.11010717179593023,False,False,54.0,66.0,70.0,72.54545454545455,75.4,1149.0,1514.0,108.25286326255548,175.7828920452773,5.769903094714805,PASS,phase2_kept_benign_visible_roles
Std,float64,65409,0,0.0,0,0.18933174333807273,8782,0.18933174333807273,False,False,0.0,0.0,3.871389197818744,5.458530530788993,7.1130552897862085,706.8194606828536,730.0,28.2624369515925,115.49549452010503,5.272535102928728,PASS,phase2_kept_benign_visible_roles
Tot size,int64,65409,0,0.0,0,0.0,81,0.4533932639239248,False,False,54.0,64.0,66.0,74.0,78.0,1514.0,1514.0,108.47944472473208,212.90350118450203,6.328389311683511,PASS,phase2_kept_benign_visible_roles
IAT,float64,65409,0,0.0,0,9.173049580332982e-05,13181,0.0999862404256295,False,False,0.0,1.3113021850585938e-05,0.0003759860992431,0.0020010471343994,0.0021290779113769,1701612913.2583559,1701647940.393325,84572053.79288386,369802828.490694,4.144001130556841,PASS,phase2_kept_benign_visible_roles
Number,int64,65409,0,0.0,0,0.049687351893470316,20,0.05149138497760247,False,False,0.0,0.0,5.0,10.0,15.0,19.0,19.0,9.534376003302297,5.754376147246842,-0.010072998388500207,PASS,phase2_kept_benign_visible_roles
Magnitue,float64,65409,0,0.0,0,0.0,4614,0.11010717179593023,False,False,10.392304845413264,11.489125293076055,11.832159566199232,12.044362443345296,12.280065146407,47.93745925682754,55.02726596879042,13.4128189902988,6.048124987117509,5.060827489988919,PASS,phase2_kept_benign_visible_roles
Radius,float64,65409,0,0.0,0,0.1893776085859744,8478,0.1893776085859744,False,False,0.0,0.0,5.473983653740676,7.719527907269403,10.059379260725342,999.5936674469282,1032.3759005323593,39.960374636887884,163.34564359398317,5.272707400117598,PASS,phase2_kept_benign_visible_roles
Variance,float64,65409,0,0.0,0,0.1893776085859744,2,0.8106223914140256,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8106223914140256,0.39181127723672565,-1.58561995327882,PASS,phase2_kept_benign_visible_roles
Weight,int64,65409,0,0.0,0,0.0,19,0.09911480071549787,False,False,1.0,1.0,36.0,121.0,256.0,361.0,361.0,141.95379840694704,120.61204431268973,0.5230778498889322,PASS,phase2_kept_benign_visible_roles
flow_idle_time,float64,65409,0,0.0,0,0.005488541332232567,10028,0.107125930682322,False,False,0.0,1.0013580322265623e-05,0.000356912612915,0.0020010471343994,0.0021278858184814,1701530868.6798553,1701647658.249088,25623926.24232701,207230992.93669072,7.963873088148675,PASS,phase2_kept_benign_visible_roles
flow_active_time,float64,65409,0,0.0,0,0.020471188980109772,54492,0.020471188980109772,False,False,0.0,0.0,0.0169990062713623,0.1185770034790039,881.6226940155029,2848.435416240692,2983.9950029850006,518.0065707795313,842.2990421106315,1.4395845038296293,PASS,phase2_kept_benign_visible_roles
