window,rows,new_processes,new_artifacts,new_edges,unique_processes,attack_present,tactic,new_sockets,socket_fan_out,graph_density_proxy,edges_per_minute
28357873,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357874,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357875,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357876,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357877,42,3,0,39,3,0,normal,0,0,4.333333333333333,39.0
28357878,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28357879,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357880,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357881,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357882,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357883,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357884,30,4,0,26,3,1,collection,0,0,1.625,26.0
28357885,15,0,0,15,0,0,normal,0,0,15.0,15.0
28357886,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357887,32,0,0,32,1,0,normal,0,0,32.0,32.0
28357888,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357889,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357890,31,3,0,28,3,0,normal,0,0,3.111111111111111,28.0
28357891,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357892,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357893,37,6,0,31,4,0,normal,0,0,0.8611111111111112,31.0
28357894,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357895,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357896,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357897,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357898,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357899,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357900,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357901,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357902,275,91,0,184,45,0,normal,0,0,0.022219538703055187,184.0
28357903,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357904,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357905,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357906,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357907,32,0,0,32,1,0,normal,0,0,32.0,32.0
28357908,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28357909,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357910,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357911,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357912,31,0,0,31,1,0,normal,0,0,31.0,31.0
28357913,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357914,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357915,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357916,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357917,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357918,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357919,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357920,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357921,14,0,0,14,0,0,normal,0,0,14.0,14.0
28357922,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357923,32,4,0,28,3,0,normal,0,0,1.75,28.0
28357924,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357925,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357926,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357927,32,0,0,32,1,0,normal,0,0,32.0,32.0
28357928,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357929,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357930,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357931,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357932,31,0,0,31,1,0,normal,0,0,31.0,31.0
28357933,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357934,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357935,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357936,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357937,42,3,0,39,3,0,normal,0,0,4.333333333333333,39.0
28357938,32,4,0,28,3,0,normal,0,0,1.75,28.0
28357939,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357940,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357941,15,0,0,15,0,0,normal,0,0,15.0,15.0
28357942,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357943,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357944,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357945,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357946,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357947,32,0,0,32,1,0,normal,0,0,32.0,32.0
28357948,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357949,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357950,44,9,0,35,6,1,collection,0,0,0.43209876543209874,35.0
28357951,20,0,0,20,1,0,normal,0,0,20.0,20.0
28357952,32,0,0,32,1,0,normal,0,0,32.0,32.0
28357953,32,4,0,28,3,0,normal,0,0,1.75,28.0
28357954,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357955,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357956,27,0,0,27,1,0,normal,0,0,27.0,27.0
28357957,26,0,0,26,0,0,normal,0,0,26.0,26.0
28357958,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357959,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357960,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357961,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357962,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357963,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357964,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357965,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357966,28,2,0,26,2,0,normal,0,0,6.5,26.0
28357967,32,0,0,32,1,0,normal,0,0,32.0,32.0
28357968,32,4,0,28,3,0,normal,0,0,1.75,28.0
28357969,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357970,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357971,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357972,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357973,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28357974,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357975,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357976,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357977,25,0,0,25,0,0,normal,0,0,25.0,25.0
28357978,23,0,0,23,1,0,normal,0,0,23.0,23.0
28357979,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357980,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357981,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357982,32,0,0,32,1,0,normal,0,0,32.0,32.0
28357983,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357984,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357985,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357986,20,0,0,20,1,0,normal,0,0,20.0,20.0
28357987,33,0,0,33,1,0,normal,0,0,33.0,33.0
28357988,32,4,0,28,3,0,normal,0,0,1.75,28.0
28357989,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357990,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357991,25,1,0,24,3,0,normal,0,0,24.0,24.0
28357992,32,0,0,32,1,0,normal,0,0,32.0,32.0
28357993,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357994,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357995,22,0,0,22,1,0,normal,0,0,22.0,22.0
28357996,14,0,0,14,0,0,normal,0,0,14.0,14.0
28357997,41,3,0,38,3,0,normal,0,0,4.222222222222222,38.0
28357998,21,0,0,21,1,0,normal,0,0,21.0,21.0
28357999,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358000,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358001,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358002,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358003,34,4,0,30,3,0,normal,0,0,1.875,30.0
28358004,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358005,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358006,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358007,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358008,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358009,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358010,32,3,0,29,3,0,normal,0,0,3.2222222222222223,29.0
28358011,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358012,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358013,27,5,0,22,4,1,collection,0,0,0.88,22.0
28358014,27,2,0,25,2,0,normal,0,0,6.25,25.0
28358015,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358016,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358017,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358018,32,4,0,28,3,0,normal,0,0,1.75,28.0
28358019,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358020,23,0,0,23,1,0,normal,0,0,23.0,23.0
28358021,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358022,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358023,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358024,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358025,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358026,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358027,35,0,0,35,1,0,normal,0,0,35.0,35.0
28358028,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358029,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358030,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358031,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358032,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358033,26,4,0,22,2,0,normal,0,0,1.375,22.0
28358034,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358035,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358036,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358037,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358038,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358039,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358040,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358041,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358042,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358043,23,0,0,23,1,0,normal,0,0,23.0,23.0
28358044,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358045,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358046,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358047,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358048,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28358049,23,0,0,23,1,0,normal,0,0,23.0,23.0
28358050,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358051,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358052,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358053,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358054,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358055,16,0,0,16,0,0,normal,0,0,16.0,16.0
28358056,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358057,42,3,0,39,3,0,normal,0,0,4.333333333333333,39.0
28358058,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358059,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358060,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358061,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358062,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358063,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28358064,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358065,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358066,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358067,37,1,0,36,3,0,normal,0,0,36.0,36.0
28358068,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358069,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358070,31,3,0,28,3,0,normal,0,0,3.111111111111111,28.0
28358071,27,2,0,25,2,0,normal,0,0,6.25,25.0
28358072,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358073,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358074,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358075,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358076,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358077,34,0,0,34,1,0,normal,0,0,34.0,34.0
28358078,32,4,0,28,3,0,normal,0,0,1.75,28.0
28358079,14,0,0,14,0,0,normal,0,0,14.0,14.0
28358080,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358081,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358082,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358083,23,0,0,23,1,0,normal,0,0,23.0,23.0
28358084,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358085,34,5,0,29,5,1,collection,0,0,1.16,29.0
28358086,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358087,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358088,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358089,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358090,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358091,38,5,0,33,4,0,normal,0,0,1.32,33.0
28358092,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358093,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28358094,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358095,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358096,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358097,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358098,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358099,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358100,14,0,0,14,0,0,normal,0,0,14.0,14.0
28358101,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358102,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358103,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358104,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358105,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358106,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358107,30,0,0,30,1,0,normal,0,0,30.0,30.0
28358108,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28358109,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358110,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358111,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358112,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358113,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358114,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358115,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358116,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358117,39,3,0,36,3,0,normal,0,0,4.0,36.0
28358118,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358119,15,0,0,15,0,0,normal,0,0,15.0,15.0
28358120,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358121,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358122,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358123,32,4,0,28,3,0,normal,0,0,1.75,28.0
28358124,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358125,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358126,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358127,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358128,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358129,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358130,32,3,0,29,3,0,normal,0,0,3.2222222222222223,29.0
28358131,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358132,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358133,23,0,0,23,1,0,normal,0,0,23.0,23.0
28358134,26,2,0,24,2,0,normal,0,0,6.0,24.0
28358135,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358136,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358137,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358138,26,4,0,22,2,0,normal,0,0,1.375,22.0
28358139,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358140,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358141,23,0,0,23,1,0,normal,0,0,23.0,23.0
28358142,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358143,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358144,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358145,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358146,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358147,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358148,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358149,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358150,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358151,35,5,0,30,5,1,collection,0,0,1.2,30.0
28358152,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358153,31,4,0,27,3,0,normal,0,0,1.6875,27.0
28358154,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358155,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358156,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358157,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358158,14,0,0,14,0,0,normal,0,0,14.0,14.0
28358159,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358160,192,59,0,133,25,0,normal,0,0,0.03820741166331514,133.0
28358161,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358162,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358163,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358164,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358165,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358166,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358167,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358168,32,4,0,28,3,0,normal,0,0,1.75,28.0
28358169,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358170,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358171,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358172,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358173,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358174,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358175,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358176,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358177,41,3,0,38,3,0,normal,0,0,4.222222222222222,38.0
28358178,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358179,14,0,0,14,0,0,normal,0,0,14.0,14.0
28358180,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358181,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358182,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358183,33,4,0,29,3,0,normal,0,0,1.8125,29.0
28358184,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358185,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358186,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358187,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358188,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358189,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358190,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358191,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358192,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358193,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358194,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358195,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358196,14,0,0,14,0,0,normal,0,0,14.0,14.0
28358197,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358198,31,4,0,27,3,0,normal,0,0,1.6875,27.0
28358199,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358200,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358201,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358202,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358203,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358204,39,7,0,32,3,0,normal,0,0,0.6530612244897959,32.0
28358205,19,0,0,19,1,0,normal,0,0,19.0,19.0
28358206,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358207,33,0,0,33,1,0,normal,0,0,33.0,33.0
28358208,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358209,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358210,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358211,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358212,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358213,31,4,0,27,3,0,normal,0,0,1.6875,27.0
28358214,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358215,23,1,0,22,3,0,normal,0,0,22.0,22.0
28358216,15,0,0,15,0,0,normal,0,0,15.0,15.0
28358217,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358218,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358219,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358220,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358221,34,5,0,29,5,1,collection,0,0,1.16,29.0
28358222,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358223,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358224,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358225,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358226,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358227,31,0,0,31,1,0,normal,0,0,31.0,31.0
28358228,32,4,0,28,3,0,normal,0,0,1.75,28.0
28358229,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358230,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358231,15,0,0,15,0,0,normal,0,0,15.0,15.0
28358232,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358233,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358234,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358235,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358236,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358237,41,3,0,38,3,0,normal,0,0,4.222222222222222,38.0
28358238,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358239,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358240,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358241,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358242,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358243,31,4,0,27,3,0,normal,0,0,1.6875,27.0
28358244,22,0,0,22,1,0,normal,0,0,22.0,22.0
28358245,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358246,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358247,32,0,0,32,1,0,normal,0,0,32.0,32.0
28358248,20,0,0,20,1,0,normal,0,0,20.0,20.0
28358249,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358250,14,0,0,14,0,0,normal,0,0,14.0,14.0
28358251,25,1,0,24,3,0,normal,0,0,24.0,24.0
28358252,37,1,0,36,3,0,normal,0,0,36.0,36.0
28358253,21,0,0,21,1,0,normal,0,0,21.0,21.0
28358254,23,0,0,23,1,0,normal,0,0,23.0,23.0
28358255,21,0,0,21,1,0,normal,0,0,21.0,21.0
